customer_id,ASIN,URL,Image URL,Brand,amount,Number of Customers,Revenue,BSR,Seller Country/Region,Fees $,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,Creation Date
CHOMOLEZA Men's 2 Pieces Shirt Set Short Sleeve Button Down Shirt Beach Pants,B0BR5FVSXF,https://www.amazon.com/dp/B0BR5FVSXF?psc=1,https://m.media-amazon.com/images/I/61UGX0+QwPL._AC_UY500_.jpg,CHOMOLEZA,36.99,n/a,n/a,"48,012",CN,n/a,1,4.5,2,n/a,0,Dongyue,"Clothing, Shoes & Jewelry",n/a,FBA,n/a,n/a,12/27/2022
"WZIKAI Men's Tracksuits,2 Piece Hooded Athletic Sweatsuits for Mens Casual Jogging Suits Sets",B09NNHWCS5,https://www.amazon.com/dp/B09NNHWCS5?psc=1,https://m.media-amazon.com/images/I/61HzpiQ-VVL._AC_UX342_.jpg,WZIKAI,39.98,241,"9,635.18","122,124",CN,15.14,1,3.9,77,5,3,WZIKAI,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.4x2.6x13.8,1.83,2/14/2022
Wirltte Men's Tracksuit Jogging 2Set Sportswear Set Sports Jacket And Pants 2 Pcs,B0B6P3W55D,https://www.amazon.com/dp/B0B6P3W55D?psc=1,https://m.media-amazon.com/images/I/71mRCgDvelL._AC_UX466_.jpg,Wirltte,24.3,22,534.6,"302,951",CN,12.45,1,4.8,6,6,0,SHC Shop,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.2x2.7x15.3,1.85,10/9/2022
Nike Academy 18 Woven Tracksuit Men's,B0791Z9D54,https://www.amazon.com/dp/B0791Z9D54?psc=1,https://m.media-amazon.com/images/I/61YV+6DcWRL._AC_UY879_.jpg,Nike,170.44,52,"8,862.88","263,479",TR,36.02,2,4,"2,766",7,5,RAD26,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,12.0x2.4x13.8,1.46,1/15/2018
adidas Men's Game & Go Open Hem,B0817H19G9,https://www.amazon.com/dp/B0817H19G9?psc=1,https://m.media-amazon.com/images/I/61igMr66T9L._AC_UX569_.jpg,adidas,38.9,196,"7,624.40","114,167",US,12.56,12,4.7,10,5,0,Nitro Panda,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,5.5x2.4x12.8,0.85,8/22/2018
COOFANDY Men's Tracksuit 2 Piece Relaxed Fit Half-zip Sweatsuits Athletic Running Jogging Suit Sets,B0B8MY7B55,https://www.amazon.com/dp/B0B8MY7B55?psc=1,https://m.media-amazon.com/images/I/71MK2DqEfOL._AC_UX342_.jpg,COOFANDY,37.99,135,"5,128.65","255,346",CN,13.72,1,4.3,80,6,5,Zeagoo,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,12.5x1.7x16.7,2.09,8/4/2022
COOFANDY Men's Tracksuit 2 Piece Hoodie Sweatsuit Sets Casual Jogging Athletic Suits,B0B12GZ7P7,https://www.amazon.com/dp/B0B12GZ7P7?psc=1,https://m.media-amazon.com/images/I/51adxVenkwL._AC_UY606_.jpg,COOFANDY,39.99,"1,087","43,469.13","43,474",CN,14.45,1,4,652,6,46,Coofandy's,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,12.7x3.0x15.1,1.98,8/12/2021
KUYIGO Men's Polo Shirt and Shorts Set Summer Outfits Fashion Casual Short Sleeve Polo Suit for Men 2 Piece Shorts Tracksuit,B0BHZF1TZN,https://www.amazon.com/dp/B0BHZF1TZN?psc=1,https://m.media-amazon.com/images/I/61HGStdD30L._AC_UY550_.jpg,KUYIGO,36.99,n/a,n/a,"115,939",CN,n/a,1,4,1,n/a,0,KUYIGO,"Clothing, Shoes & Jewelry",n/a,FBA,n/a,n/a,10/12/2022
Nike Men's Dry Park 18 Tracksuit,B07DVVJMLH,https://www.amazon.com/dp/B07DVVJMLH?psc=1,https://m.media-amazon.com/images/I/51Dq2w3SvcL._AC_UX522_.jpg,Nike,299,13,"3,887.00","1,101,744",n/a,58.16,1,4.2,284,6,0,n/a,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.5x2.2x12.6,1.3,9/26/2018
TOPONSKY Velour Tracksuit Women 2 Piece Velvet Zip Hoodie Sweatsuit Pockets,B0BGJ3JKWH,https://www.amazon.com/dp/B0BGJ3JKWH?psc=1,https://m.media-amazon.com/images/I/41vtLqiSvdL._AC_UY679_.jpg,TOPONSKY,39.99,123,"4,918.77","282,521",CN,14.45,1,3.8,82,4,9,TOPONSKY,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.7x3.4x14.7,0.93,9/26/2022
adidas Men's Tiro Track Pants,B08DWPW2VK,https://www.amazon.com/dp/B08DWPW2VK?psc=1,https://m.media-amazon.com/images/I/61CQQpYTHLL._AC_UX425_.jpg,adidas,30,"9,429","282,870.00","1,039",AMZ,11.47,19,4.7,"5,145",5,-453,Amazon,"Clothing, Shoes & Jewelry",Large Standard-Size,AMZ,10.7x1.9x12.9,0.84,4/9/2021
AOTORR Men's Tracksuit 2 Pieces Sweat Suits Casual Long Sleeve Outfit Sports Jogging Suits Set,B07YDN4QR6,https://www.amazon.com/dp/B07YDN4QR6?psc=1,https://m.media-amazon.com/images/I/61HHfyYWlKL._AC_UX342_.jpg,AOTORR,39.99,256,"10,237.44","92,165",CN,14.44,1,4.4,"1,118",7,4,AOTORR,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.0x3.0x16.0,2.09,9/26/2019
NIKE Academy Warm Up Tracksuit Mens Mens,B00969A7TU,https://www.amazon.com/dp/B00969A7TU?psc=1,https://m.media-amazon.com/images/I/51t+8VpIfmL._AC_SX466_.jpg,Nike,299,1,299,"994,948",n/a,58.24,1,4.4,"7,958",4,0,n/a,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,10.9x1.3x13.2,1.76,5/16/2017
Daupanzees Men's Luxury Casual Button Down Short Sleeve Hawaiian Shirt Suits,B09MYNDJKT,https://www.amazon.com/dp/B09MYNDJKT?psc=1,https://m.media-amazon.com/images/I/71xKCAiP-GL._AC_UY550_.jpg,Daupanzees,35.99,"1,036","37,285.64","23,008",CN,12.95,1,4.4,"2,140",6,24,heeman,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,9.8x2.1x14.7,0.77,4/19/2021
HHGKED Sweat suits men Tracksuits 2 Piece sets Athletic Jogging suits Casual Outfits for men,B0BK43NDYY,https://www.amazon.com/dp/B0BK43NDYY?psc=1,https://m.media-amazon.com/images/I/61SRBqd0JIL._AC_UY741_.jpg,HHGKED,37.9,n/a,n/a,"71,110",CN,n/a,1,n/a,0,n/a,0,ROC,"Clothing, Shoes & Jewelry",n/a,FBA,n/a,n/a,10/22/2022
"Nike Dry Training Academy Men's Tracksuit (L, Black/White)",B006PK2NDQ,https://www.amazon.com/dp/B006PK2NDQ?psc=1,https://m.media-amazon.com/images/I/61R40yrHVjL._AC_UX679_.jpg,Nike,299,0,0,"3,272,374",n/a,58.18,1,4.2,31,1,0,n/a,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,9.1x2.7x13.0,1.55,9/18/2012
G-Style USA Men's Zipper Jacket Drawtsring Waistband Sweatpants Tracksuit Set,B08MQTMXPF,https://www.amazon.com/dp/B08MQTMXPF?psc=1,https://m.media-amazon.com/images/I/81IlpJdGEcL._AC_UX522_.jpg,G-Style USA,49.95,403,"20,129.85","76,936",US,15.82,1,4.5,850,9,7,gstyleusa,"Clothing, Shoes & Jewelry",Large Standard-Size,MFN,11.5x3.6x13.2,2.01,7/9/2020
